,name,is_female
218,Sydney,0
219,Liuka,1
220,Vere,1
221,Clotilda,1
222,Mignonne,1
223,Brook,0
224,Winslow,0
225,Alli,1
226,Gladi,1
227,Merl,1
228,Geeta,1
229,Christi,1
230,Rosanna,1
231,Bogdan,0
232,Georgetta,1
233,Emlynn,1
234,Elayne,1
235,Glyn,1
236,Georgette,1
237,Mattias,0
238,Jada,1
239,Sidonia,1
240,Torre,0
241,Win,0
242,Ottilie,1
243,Terrence,0
244,Mahmud,0
245,Carin,1
246,Beryl,1
247,Fannie,1
248,Yvonne,1
249,Neddie,0
250,Sig,0
251,Mortie,0
252,Berenice,1
253,Edgar,0
254,Kaja,1
255,Chrisy,0
256,Ernie,0
257,Reine,1
258,Ardys,1
259,Dorelle,1
260,Sal,1
261,Franny,1
262,Elden,0
263,Shelly,1
264,Mandie,1
265,Abbie,1
266,Yard,0
267,Carroll,1
268,Alasdair,0
269,Aprilette,1
270,Willy,0
271,Louella,1
272,Andres,0
273,Pearle,1
274,Iona,1
275,Valaria,1
276,Sonny,1
277,Alberto,0
278,Odelia,1
279,Coral,1
280,Rhody,1
281,Nelle,1
282,Meghann,1
283,Horst,0
284,Diena,1
285,Hetty,1
286,Sarina,1
287,Michele,0
288,Nolie,1
289,Nealson,0
290,Milt,0
291,Ealasaid,1
292,Lamar,0
293,Chelton,0
294,Laureen,1
295,Laurella,1
296,Duffie,0
297,Janis,1
298,Thomas,0
299,Carmelle,1
300,Marla,1
301,Joella,1
302,Marianne,1
303,Kaitlin,1
304,Thorpe,0
305,Loria,1
306,Antonio,0
307,Shawn,1
308,Kincaid,0
309,Jolene,1
310,Jenelle,1
311,Bernadine,1
312,Shanie,1
313,Jenna,1
314,Wallis,1
315,Anne-Mar,1
316,Shane,1
317,Levy,0
318,Caryn,1
319,Ranique,1
320,Deva,1
321,Ewart,0
322,Cyb,1
323,Lise,1
324,Normie,0
325,Boris,0
326,Henrieta,1
327,Ivan,0
328,Danit,1
329,Ulises,0
330,Amargo,1
331,Tatiana,1
332,Rustin,0
333,Bee,1
334,Boyce,0
335,Jessee,0
336,Penelope,1
337,Christian,1
338,Anastasie,1
339,Claribel,1
340,Klarrisa,1
341,Sioux,1
342,Yves,0
343,Ethelyn,1
344,JoAnn,1
345,Rafaelita,1
346,Beverie,1
347,Brooke,1
348,Ebba,1
349,Sherwynd,0
350,Ame,1
351,Ainslie,1
352,Waverley,0
353,Sheeree,1
354,Urbanus,0
355,Lorita,1
356,Chuck,0
357,Shela,1
358,Isabelle,1
359,Remington,0
360,Kirsten,1
361,Quinn,1
362,Rabi,0
363,Rutledge,0
364,Doti,1
365,Fons,0
366,Alexandrina,1
367,Husain,0
368,Aila,1
369,Mathew,0
370,Samantha,1
371,Mateo,0
372,Kayle,1
373,Susy,1
374,Pail,0
375,Darelle,1
376,Corabel,1
377,Kin,0
378,Torrence,0
379,Darcy,0
380,Ronen,0
381,Vonnie,1
382,Hilton,0
383,Noel,0
384,Adnan,0
385,Cate,1
386,Euphemia,1
387,Wainwright,0
388,Alana,1
389,Casey,0
390,Natala,1
391,Rene,1
392,Jeremiah,0
393,Gian,0
394,Lars,0
395,Arlena,1
396,Caresse,1
397,Camellia,1
398,Shell,0
399,Lyle,0
400,Nollie,1
401,Stearne,0
402,Binni,1
403,Carrie,1
404,Janetta,1
405,Suzie,1
406,Therine,1
407,Fitzgerald,0
408,Anthea,1
409,Dulcia,1
410,Mordecai,0
411,Perla,1
412,Liza,1
413,Len,0
414,Brett,1
415,Rozalin,1
416,Willem,0
417,Selie,1
418,Vicki,1
419,Clifton,0
420,Lazaro,0
421,Darius,0
422,Noelyn,1
423,Babita,1
424,Marty,0
425,Lulita,1
426,Misty,1
427,Yevette,1
428,Natassia,1
429,Dawson,0
430,Marnie,1
431,Nanine,1
432,Barbabas,0
433,Franciska,1
434,Kim,1
435,Nanice,1
436,Ursala,1
437,Ginni,1
438,Brigid,1
439,Frank,1
440,Sherlocke,0
441,Jorge,0
442,Mason,0
443,Tonnie,0
444,Ardenia,1
445,Lazar,0
446,Corissa,1
447,Huntlee,0
448,Clarette,1
449,Crysta,1
450,Marleah,1
451,Tirrell,0
452,Blithe,1
453,Taddeo,0
454,Terrianne,1
455,Deidre,1
456,Odell,0
457,Kellen,1
458,Leonard,0
459,Celie,1
460,Inesita,1
461,Susann,1
462,Caria,1
463,Illa,1
464,Henrie,1
465,Vivyan,1
466,Alexine,1
467,Nada,1
468,Misha,1
469,Livia,1
470,Eleonore,1
471,Reiko,1
472,Clyde,0
473,Drew,0
474,Sly,0
475,Dietrich,0
476,Lane,0
477,Benjamin,0
478,Cari,1
479,Immanuel,0
480,Binnie,1
481,Katlin,1
482,Juliet,1
483,Georgina,1
484,Kip,0
485,Virginia,1
486,Walden,0
487,Martelle,1
488,Blakeley,1
489,Florian,0
490,Karita,1
491,Hillary,0
492,Merry,0
493,Scottie,0
494,Janos,0
495,Hannis,1
496,Udell,0
497,Cindi,1
498,Spike,0
499,Berkie,0
500,Maible,1
501,Che,0
502,Luella,1
503,Maxine,1
504,Ralph,0
505,Dedra,1
506,Corinne,1
507,Curtice,0
508,Dayle,1
509,Anya,1
510,Annamari,1
511,Melony,1
512,Prudence,1
513,Atlante,1
514,Towny,0
515,Lynne,1
516,Brianna,1
517,Obadias,0
518,Curt,0
519,Darryl,0
520,Iago,0
521,Andie,1
522,Dusty,1
523,Frederic,0
524,Laurice,1
525,Cherilynn,1
526,Hannibal,1
527,Tessa,1
528,Doralynne,1
529,Tore,0
530,Blayne,0
531,Britney,1
532,Neila,1
533,Enrica,1
534,Rachele,1
535,Raynell,1
536,Hamnet,0
537,Aubrie,1
538,Miran,1
539,Zenia,1
540,Meade,0
541,Bridgett,1
542,Kamillah,1
543,Martie,0
544,Agamemnon,0
545,Gunther,0
546,Shayne,1
547,Leta,1
548,Nannette,1
549,Olva,1
550,Renata,1
551,Eugenie,1
552,Keenan,0
553,Mildrid,1
554,Niall,0
555,Rudie,0
556,Vale,0
557,Johnathan,0
558,Lezlie,1
559,Kaspar,0
560,Lonee,1
561,Hiro,0
562,Beatrice,1
563,Cassandre,1
564,Hilary,0
565,Enrichetta,1
566,Matti,1
567,Jeffrey,0
568,Ophelia,1
569,Sammy,0
570,Jack,0
571,Janaya,1
572,Sayer,0
573,Jorry,1
574,Barri,0
575,Fulton,0
576,Jasmin,1
577,Alyson,1
578,Steffen,0
579,Gweneth,1
580,Missie,1
581,Eydie,1
582,Philipa,1
583,Leelah,1
584,Lucian,0
585,Kathlin,1
586,Pier,1
587,Raimund,0
588,Cindelyn,1
589,Filbert,0
590,Winny,1
591,Shelagh,1
592,Carlynne,1
593,Alexandra,1
594,Julina,1
595,Ericka,1
596,Floria,1
597,Murielle,1
598,Carmel,1
599,Sybille,1
600,Theobald,0
601,Chauncey,0
602,LeeAnn,1
603,Ingaberg,1
604,Joannes,1
605,Alene,1
606,Jerrylee,1
607,Wallache,0
608,Davine,1
609,Helmuth,0
610,Maxwell,0
611,Sande,1
612,Meredithe,1
613,Liane,1
614,Kinna,1
615,Tommie,0
616,Birdie,1
617,Ruthi,1
618,Shannan,0
619,Armond,0
620,Frederico,0
621,Koral,1
622,Denyse,1
623,Ciara,1
624,Keil,0
625,Forster,0
626,Judah,0
627,Flory,1
628,Farica,1
629,Renaldo,0
630,Flower,1
631,Dorelia,1
632,Augustin,0
633,Brigitta,1
634,Brynn,1
635,Magna,1
636,Dorolisa,1
637,Elsa,1
638,Lisha,1
639,Davon,0
640,See,0
641,Broderic,0
642,Judson,0
643,Caty,1
644,Judd,0
645,Hilarie,1
646,Tani,1
647,Deirdre,1
648,Erny,0
649,Desiri,1
650,Agatha,1
651,Claire,0
652,Rozanna,1
653,Duncan,0
654,Ekaterina,1
655,Ransom,0
656,Shandee,1
657,Clementine,1
658,Merola,1
659,Delilah,1
660,Milka,1
661,Tandie,1
662,Kristina,1
663,Weston,0
664,Juliana,1
665,Georgine,1
666,Lisbeth,1
667,Cabrina,1
668,Anstice,1
669,Elora,1
670,Jeana,1
671,Neron,0
672,Tre,0
673,Cristi,1
674,Honey,1
675,Jacynth,1
676,Joye,1
677,Steffane,1
678,Denice,1
679,Jed,0
680,Layla,1
681,Hatty,1
682,Katheleen,1
683,Anders,0
684,Derk,0
685,Bryn,0
686,Melisse,1
687,Nonnah,1
688,Mortimer,0
689,Darren,0
690,Chadwick,0
691,Ursula,1
692,Othelia,1
693,Kelwin,0
694,Orin,0
695,Carlin,1
696,Dwain,0
697,Eloise,1
698,Viva,1
699,Latashia,1
700,Sheffield,0
701,Cristionna,1
702,Tamarra,1
703,Austin,1
704,Biddy,1
705,Christel,1
706,Tracie,0
707,Aida,1
708,Russell,0
709,Fanni,1
710,Eve,1
711,Karyn,1
712,Janela,1
713,Stillmann,0
714,Dara,1
715,Fonsie,0
716,Janet,1
717,Lilly,1
718,Devin,1
719,Terrell,0
720,Devi,1
721,Francesca,1
722,Karina,1
723,Knox,0
724,Diannne,1
725,Sybyl,1
726,Shirah,1
727,Osmond,0
728,Walton,0
729,Morgan,1
730,Rog,0
731,Joanie,1
732,Sherilyn,1
733,Dione,1
734,Marris,1
735,Georgia,0
736,Evvie,1
737,Edith,1
738,Sabina,1
739,Nady,1
740,Spiros,0
741,Ariela,1
742,Jackqueline,1
743,Janella,1
744,Carlene,1
745,Darby,0
746,Gayleen,1
747,Jordon,0
748,Gladys,1
749,Gretchen,0
750,Essy,1
751,Florenza,1
752,Trish,1
753,Susie,1
754,Tanner,0
755,Lonny,0
756,Abigale,1
757,Jessika,1
758,Helge,1
759,Rosalinda,1
760,Klaus,0
761,Barbara,1
762,Eleonora,1
763,Fae,1
764,Carlyn,1
765,Manuel,0
766,Shurlock,0
767,Kendrick,0
768,Fredra,1
769,Ines,1
770,Devon,0
771,Jedediah,0
772,Hunt,0
773,Hedvig,1
774,Maryann,1
775,Marie,1
776,Lari,1
777,Evangelina,1
778,Kurt,0
779,Katalin,1
780,Hazel,1
781,Kat,1
782,Gustie,1
783,Delphine,1
784,Nunzio,0
785,Daisy,1
786,Carlotta,1
787,Marion,1
788,Waldon,0
789,Carmela,1
790,Stephi,1
791,Wyndham,0
792,Moselle,1
793,Genni,1
794,Adaline,1
795,Gideon,0
796,Shoshana,1
797,Kimbra,1
798,Aloise,1
799,Izak,0
800,Carmelina,1
801,Alonso,0
802,Nevile,0
803,Stace,1
804,Wake,0
805,Valma,1
806,Phillip,0
807,Julius,0
808,Octavius,0
809,Cori,1
810,Esmeralda,1
811,Oralee,1
812,Rissa,1
813,Alis,1
814,Lisa,1
815,Yancy,0
816,Jaquenetta,1
817,Sophi,1
818,Fayth,1
819,Tommy,0
820,Stuart,0
821,Teddy,0
822,Hally,1
823,Valida,1
824,Pierce,0
825,Anne-Marie,1
826,Jocelyne,1
827,Regine,1
828,Gavin,0
829,Welby,0
830,Marylinda,1
831,Moyna,1
832,Tobin,0
833,Legra,1
834,Nyssa,1
835,Donella,1
836,Althea,1
837,Maurie,0
838,Batsheva,1
839,Cassey,1
840,Brena,1
841,Danny,1
842,Cory,1
843,Nettie,1
844,Willdon,0
845,Hailee,1
846,Deb,1
847,Claudette,1
848,Courtenay,1
849,Terrill,0
850,Ginnifer,1
851,Katee,1
852,Peggy,1
853,Cinnamon,1
854,JoAnn,1
855,Kerry,0
856,Rasla,1
857,Jef,0
858,Eolande,1
859,Jolie,1
860,Gabbey,1
861,Lauren,0
862,Elinore,1
863,Loraine,1
864,Rosemarie,1
865,Guido,0
866,Shanda,1
867,Sheryl,1
868,Alonzo,0
869,Reena,1
870,Norri,1
871,Garrot,0
872,Nicki,1
873,Robinetta,1
874,Nedi,1
875,Cyril,0
876,Hadria,1
877,Faina,1
878,Kelley,0
879,Micky,0
880,Alaine,1
881,Marlin,0
882,Mab,1
883,Lorrie,1
884,Carmine,0
885,Yvette,1
886,Lovell,0
887,Roddy,0
888,Ruthann,1
889,Karoly,1
890,Nichole,0
891,Winna,1
892,Regen,0
893,Estele,1
894,Shirl,1
895,Genny,1
896,Page,1
897,Abbot,0
898,Staford,0
899,Denise,1
900,Aggi,1
901,Lanni,1
902,Alameda,1
903,Pegeen,1
904,Talbot,0
905,Charlotta,1
906,Florina,1
907,Wilson,0
908,Andromache,1
909,Brinkley,0
910,Blanch,1
911,Tedd,0
912,Duffy,0
913,Neale,0
914,Florida,1
915,Tomasina,1
916,Bard,0
917,Sholom,0
918,Micki,1
919,Shari,1
920,Marko,0
921,Renard,0
922,Ronna,1
923,Faye,1
924,Rachael,1
925,Lola,1
926,Carena,1
927,Tarra,1
928,Karry,1
929,Maury,0
930,Hedi,1
931,Inez,1
932,Jennings,0
933,Netti,1
934,Rosamund,1
935,Orella,1
936,Hester,1
937,Bell,1
938,Lea,1
939,Norma,1
940,Sunny,0
941,Priscilla,1
942,Benito,0
943,Alayne,1
944,Spenser,0
945,Franky,1
946,Mackenzie,0
947,Lorain,1
948,Lefty,0
949,Thea,1
950,Yale,0
951,Ashley,1
952,Alessandro,0
953,Vasili,0
954,Alessandra,1
955,Haskel,0
956,Nevins,0
957,Clary,1
958,Sile,1
959,Norina,1
960,Sully,0
961,Tiffany,1
962,Eolanda,1
963,Storey,1
964,Vito,0
965,Kalvin,0
966,Gerda,1
967,Fyodor,0
968,Cletus,0
969,Patti,1
970,Bradley,0
971,John-David,0
972,Ebony,1
973,Evy,1
974,Conchita,1
975,Marget,1
976,Vivianne,1
977,Norton,0
978,Bathsheba,1
979,Daile,1
980,Vivi,1
981,Ketty,1
982,Avivah,1
983,Betteann,1
984,Ellis,0
985,Maure,1
986,Shilpa,1
987,Anastassia,1
988,Parwane,1
989,Catherin,1
990,Allyn,0
991,Garfield,0
992,Bart,0
993,Wilton,0
994,Hollie,1
995,Karna,1
996,Lynnett,1
997,Colline,1
998,Annmarie,1
999,Pierrette,1
1000,Tyrone,0
1001,Kathryne,1
1002,Albertine,1
1003,Guinevere,1
1004,Bernete,1
1005,Myra,1
1006,Betta,1
1007,Dianne,1
1008,Helaine,1
1009,Monah,1
1010,Kimball,0
1011,Elyn,1
1012,Henri,0
1013,Adore,1
1014,Torrin,0
1015,Vasilis,0
1016,Skip,0
1017,Dane,0
1018,Lemuel,0
1019,Letta,1
1020,Hedda,1
1021,Lillian,1
1022,Brigida,1
1023,Forest,0
1024,Josiah,0
1025,Kathryn,1
1026,Sheba,1
1027,Nolan,0
1028,Darbie,1
1029,Silvain,0
1030,Perry,0
1031,Morly,0
1032,Colin,0
1033,Katie,1
1034,Glori,1
1035,Trula,1
1036,Osgood,0
1037,Ellie,1
1038,Jefferey,0
1039,Margot,1
1040,Tomkin,0
1041,Philippine,1
1042,Stew,0
1043,Mary,1
1044,Derron,0
1045,Nicole,1
1046,Elisa,1
1047,Tiena,1
1048,Maisie,1
1049,Donna,1
1050,Werner,0
1051,Claudina,1
1052,Bartholomeus,0
1053,Prasun,0
1054,Val,1
1055,Pattie,0
1056,Lethia,1
1057,Lucia,1
1058,Abagael,1
1059,Winnifred,1
1060,Chloette,1
1061,Stephen,0
1062,Deina,1
1063,Merna,1
1064,Casey,1
1065,Hugo,0
1066,Aubrey,0
1067,Della,1
1068,Catlee,1
1069,Larine,1
1070,Becki,1
1071,Torie,1
1072,Lindsay,0
1073,Annamaria,1
1074,Jennee,1
1075,Janie,1
1076,Annnora,1
1077,Hymie,0
1078,Lena,1
1079,Aubert,0
1080,Yoshi,1
1081,Ronica,1
1082,Bernie,1
1083,Bentley,0
1084,Sylvie,1
1085,Sibley,1
1086,Demetri,0
1087,Arnold,0
1088,Britte,1
1089,Chelsy,1
1090,Aleksandrs,0
1091,Sheelagh,1
1092,Charmaine,1
1093,Farra,1
1094,Donnie,1
1095,Catarina,1
1096,Alia,1
1097,Thorsten,0
1098,Anthony,0
1099,Wiley,0
1100,Jelene,1
1101,Kalil,0
1102,Allina,1
1103,Melisandra,1
1104,Clifford,0
1105,Meridel,1
1106,Gaven,0
1107,Elaina,1
1108,Kissiah,1
1109,Witty,0
1110,Xylina,1
1111,Tansy,1
1112,Zacherie,0
1113,Elfrieda,1
1114,Haleigh,1
1115,Jodee,1
1116,Anitra,1
1117,Berrie,1
1118,Krissy,1
1119,Vernen,0
1120,Lynna,1
1121,Kathi,1
1122,Rafe,0
1123,Abbey,1
1124,Lorena,1
1125,Xavier,0
1126,Pamela,1
1127,Gilda,1
1128,Beowulf,0
1129,Fleming,0
1130,Caron,1
1131,Grover,0
1132,Allegra,1
1133,Allen,0
1134,Cliff,0
1135,Valli,1
1136,Raphael,0
1137,Baird,0
1138,Ania,1
1139,Madelon,1
1140,Drea,1
1141,Auguste,1
1142,Joleen,1
1143,Emmett,0
1144,Abdul,0
1145,Noe,0
1146,Henryetta,1
1147,Robin,0
1148,Sherill,1
1149,Melinde,1
1150,Willyt,1
1151,Nicky,0
1152,Cody,0
1153,Wendel,0
1154,Sonnie,1
1155,Calypso,1
1156,Tadd,0
1157,Whittaker,0
1158,Karim,0
1159,Pennie,0
1160,Bettine,1
1161,Aubrette,1
1162,Rayner,0
1163,Florentia,1
1164,Adi,1
1165,Jacquie,1
1166,Frannie,1
1167,Noach,0
1168,Anne-Corinne,1
1169,Koralle,1
1170,Tedda,1
1171,Allyson,1
1172,Rennie,1
1173,Winona,1
1174,Saundra,0
1175,Constancy,1
1176,Alla,1
1177,Berkeley,0
1178,Brenda,1
1179,Ansel,0
1180,Lazare,0
1181,Maressa,1
1182,Florrie,1
1183,Moyra,1
1184,Nathanil,0
1185,Noella,1
1186,Federico,0
1187,Nancey,1
1188,Ramon,0
1189,Gelya,1
1190,Johnathon,0
1191,Robenia,1
1192,Elisha,0
1193,Jesus,0
1194,Annabel,1
1195,Tab,0
1196,Shandy,1
1197,Lizbeth,1
1198,Delcina,1
1199,Ambrosio,0
1200,Cobby,0
1201,Dan,0
1202,Phaedra,1
1203,Kaila,1
1204,Cherilyn,1
1205,Lucilia,1
1206,Crawford,0
1207,Yehudit,1
1208,Marcela,1
1209,Anja,1
1210,Ethelind,1
1211,Loleta,1
1212,Gonzales,0
1213,Ephraim,0
1214,Cally,1
1215,Deonne,1
1216,Marja,1
1217,Luigi,0
1218,Flinn,0
1219,Paco,0
1220,Renie,1
1221,Linn,1
1222,Darcey,1
1223,Durand,0
1224,Gwenn,1
1225,Gertruda,1
1226,Lira,1
1227,Elane,1
1228,Tabatha,1
1229,Zolly,0
1230,Pennie,1
1231,Oscar,0
1232,Penn,0
1233,Philippe,1
1234,Corabella,1
1235,Trey,0
1236,Silvana,1
1237,Andy,0
1238,Nat,0
1239,Philomena,1
1240,Shalna,1
1241,Sasha,0
1242,Corrina,1
1243,Kayley,1
1244,Davita,1
1245,Renelle,1
1246,Prentice,0
1247,Glenn,1
1248,Hansel,0
1249,Jacinta,1
1250,Hynda,1
1251,Wynnie,1
1252,Corky,0
1253,Dory,1
1254,Aina,1
1255,Jaleh,1
1256,Dani,1
1257,Dennie,1
1258,Nerty,1
1259,Alyss,1
1260,Natalina,1
1261,Hamil,0
1262,Jillene,1
1263,Jacqui,1
1264,Sharie,1
1265,Ruddy,0
1266,Bridget,1
1267,Elisha,1
1268,Gerty,1
1269,Harris,0
1270,Mindy,1
1271,Lauree,1
1272,Jerrome,0
1273,Sherrie,1
1274,Worthington,0
1275,Christan,1
1276,Phineas,0
1277,Orton,0
1278,Lurlene,1
1279,Theresita,1
1280,Gav,0
1281,Tera,1
1282,Natasha,1
1283,Berny,1
1284,Kaitlyn,1
1285,Hoyt,0
1286,Annalisa,1
1287,Atlanta,1
1288,Emilia,1
1289,Randee,1
1290,Corny,1
1291,Hewie,0
1292,Timotheus,0
1293,Modestine,1
1294,Elvera,1
1295,Waylen,0
1296,Aigneis,1
1297,Kristien,1
1298,Marten,0
1299,Tulley,0
1300,Dimitri,0
1301,Leslie,1
1302,Nev,0
1303,Marcellina,1
1304,Clarinda,1
1305,Alane,1
1306,Orlando,0
1307,Calvin,0
1308,Fancie,1
1309,Janessa,1
1310,Iormina,1
1311,Jude,0
1312,Osborn,0
1313,Albina,1
1314,Abe,0
1315,Arron,0
1316,Jereme,0
1317,Floyd,0
1318,Ludwig,0
1319,Maren,1
1320,Bird,1
1321,Shirline,1
1322,Dacy,1
1323,Owen,0
1324,Margarethe,1
1325,Dion,0
1326,Vitia,1
1327,Maynord,0
1328,Lilah,1
1329,Jorey,1
1330,Bob,0
1331,Margarette,1
1332,Wynn,1
1333,Bancroft,0
1334,Tami,1
1335,Graehme,0
1336,Perri,1
1337,Worthy,0
1338,Nadean,1
1339,Pavel,0
1340,Pauli,1
1341,Charis,1
1342,Gilburt,0
1343,Temple,0
1344,Abbie,0
1345,Reg,0
1346,Isaiah,0
1347,Lawerence,0
1348,Fatima,1
1349,Duane,0
1350,Jamie,1
1351,Portia,1
1352,Mead,1
1353,Rochette,1
1354,Jesse,0
1355,Bambie,1
1356,Gregg,0
1357,Davidde,0
1358,Kaylee,1
1359,Matthias,0
1360,Bel,1
1361,Elie,1
1362,Phil,1
1363,Katrine,1
1364,Roselia,1
1365,Dana,1
1366,Ronalda,1
1367,Seymour,0
1368,Amalee,1
1369,Shadow,0
1370,Richy,0
1371,Julianne,1
1372,Sabine,1
1373,Shaine,0
1374,Beverlee,1
1375,Nathalie,1
1376,Klara,1
1377,Marquita,1
1378,Fawnia,1
1379,Claude,0
1380,Nonah,1
1381,Kostas,0
1382,Bartholemy,0
1383,Nalani,1
1384,Sigrid,1
1385,Cassondra,1
1386,Berty,1
1387,Saxe,0
1388,Aurilia,1
1389,Georgeanne,1
1390,Zechariah,0
1391,Morten,0
1392,Hans,0
1393,Hildy,1
1394,Grayce,1
1395,Sissy,1
1396,Flint,0
1397,Deanne,1
1398,Ashlie,1
1399,Britt,1
1400,Marcella,1
1401,Agnella,1
1402,Gisela,1
1403,Quintin,0
1404,Ericha,1
1405,Farand,1
1406,Beth,1
1407,Sheffy,0
1408,Gabriell,1
1409,Dov,0
1410,Filipe,0
1411,Dulce,1
1412,Tedman,0
1413,Spud,0
1414,Matilde,1
1415,Leoline,1
1416,Holli,1
1417,Aditya,0
1418,Minny,1
1419,Alix,0
1420,Tabbie,1
1421,Gusta,1
1422,Johannah,1
1423,Bree,1
1424,Rolando,0
1425,Celestia,1
1426,Jenda,1
1427,Aura,1
1428,Jackson,0
1429,Griswold,0
1430,Martyn,0
1431,Rollins,0
1432,Lurleen,1
1433,Sinclair,0
1434,Giavani,0
1435,Angele,1
1436,Isadora,1
1437,Kiri,1
1438,Dido,1
1439,Noellyn,1
1440,Skye,0
1441,Jerrine,1
1442,Rodrigo,0
1443,Eryn,1
1444,Drew,1
1445,Adele,1
1446,Dynah,1
1447,Nidia,1
1448,Lolly,1
1449,Jonah,0
1450,Juditha,1
1451,Margy,1
1452,Salvador,0
1453,Kelsey,0
1454,Fonz,0
1455,Oralia,1
1456,Lorna,1
1457,Eleanora,1
1458,Jorrie,1
1459,Brewer,0
1460,Peggie,1
1461,Maxy,1
1462,Philbert,0
1463,Gabbie,1
1464,Wynton,0
1465,Danette,1
1466,Maura,1
1467,Lucky,1
1468,Constantine,1
1469,Nester,0
1470,Valeria,1
1471,Jean-Luc,0
1472,Benn,0
1473,Web,0
1474,Ianthe,1
1475,Darth,0
1476,Cissy,1
1477,Vanna,1
1478,Elena,1
1479,Dianemarie,1
1480,Titos,0
1481,John-Patrick,0
1482,Neal,0
1483,Bucky,0
1484,Ciel,1
1485,Olimpia,1
1486,Chase,0
1487,Nanette,1
1488,Erena,1
1489,Mavra,1
1490,Ilyse,1
1491,Roger,0
1492,Garold,0
1493,George,1
1494,Marrilee,1
1495,Eugen,0
1496,Rosa,1
1497,Adelice,1
1498,Martica,1
1499,Cresa,1
1500,Rupert,0
1501,Farah,1
1502,Idette,1
1503,Cybill,1
1504,Clayton,0
1505,Valentine,0
1506,Rodrick,0
1507,Stefania,1
