id,num_of_admin_pages,admin_page_duration,num_of_info_pages,info_page_duration,num_of_product_pages,product_page_duration,total_duration,BounceRates,ExitRates,PageValues,closeness_to_holiday,Month,device,internet_browser,Region,user_type,Weekend,A,B,C,D,purchase
18,0,0,0,0.0 minutes,3,105.0 minutes,,0,0.033333333,0,0,Feb,3,chrome_90.1.7,1,Returning_Visitor,FALSE,c_5,106.9252511,log404,,0
19,0,0,0,0.0 minutes,2,15.0 minutes,15,0,0.1,0,0.8,Feb,2,edge_98.0.1108.84,1,Returning_Visitor,FALSE,c_3,101.3924839,log404,,0
20,0,0,0,0.0 minutes,1,,0,0.2,0.2,0,0,Feb,2,chrome_98.0.1,4,Returning_Visitor,TRUE,c_1,83.19269834,log404,,0
21,0,0,0,0.0 minutes,5,156.0 minutes,,0,0.04,0,0,Feb,1,safari_15.2,9,Returning_Visitor,FALSE,c_3,114.6990144,log400,,0
22,4,64.6,0,0.0 minutes,32,1135.444444 minutes,1200.044444,0.002857143,0.00952381,0,0,Feb,2,chrome_99.1.3,1,Returning_Visitor,FALSE,c_3,96.26608071,log8080,,0
23,0,0,0,0.0 minutes,4,76.0 minutes,,0.05,0.1,0,0,Feb,1,safari_15.4,1,Returning_Visitor,FALSE,c_3,102.0080157,log200,,0
24,1,6,1,0.0 minutes,45,1582.75 minutes,1588.75,0.043478261,0.050821256,54.17976426,0.4,Feb,3,chrome_90.1.7,1,Returning_Visitor,FALSE,,97.42047848,log200,,0
25,0,0,0,0.0 minutes,2,35.0 minutes,,0,0.1,0,0,Feb,1,safari_14,6,Returning_Visitor,FALSE,c_3,98.14105992,log202,,0
26,0,0,0,0.0 minutes,3,78.0 minutes,,0,0.066666667,0,0,Feb,1,chrome_98.0.1,6,Returning_Visitor,TRUE,c_6,101.3939933,log404,,0
27,0,0,0,0.0 minutes,8,209.5 minutes,209.5,0,0.025,0,0,Feb,2,chrome_99.1.4,1,Returning_Visitor,FALSE,c_1,98.93045178,log_100,,0
28,0,0,0,0.0 minutes,10,183.6666667 minutes,183.6666667,0.04,0.08,0,0,Feb,1,safari_15,3,Returning_Visitor,FALSE,c_1,87.6834782,log8080,,0
29,0,0,0,0.0 minutes,14,380.5 minutes,380.5,0.014285714,0.028571429,0,0,Feb,2,chrome_90.1.7,1,Returning_Visitor,FALSE,c_1,94.89607089,log8080,,0
30,0,0,0,0.0 minutes,52,2086.242857 minutes,,0.015384615,0.020352564,0,0,Feb,2,chrome_90.1.7,7,Returning_Visitor,FALSE,c_1,105.5518988,log404,,0
31,0,0,0,0.0 minutes,8,388.0 minutes,388,0.025,0.05625,0,0,Feb,3,chrome_90.1.7,1,Returning_Visitor,TRUE,c_4,86.19345837,log8080,,0
32,2,18,0,0.0 minutes,5,298.0 minutes,316,0,0.028571429,0,0.8,Feb,2,chrome_89,8,Returning_Visitor,FALSE,c_4,113.0877769,log404,,0
33,0,0,0,0.0 minutes,7,63.0 minutes,63,0.028571429,0.071428571,0,0.6,Feb,2,chrome_99.1.3,1,Returning_Visitor,FALSE,c_3,90.44501877,log200,,0
34,0,0,0,0.0 minutes,9,482.0 minutes,,0,0.022222222,0,0,Feb,2,browser_5_v7,1,Returning_Visitor,FALSE,c_6,97.30538507,log8080,7.257360853,0
35,1,,0,0.0 minutes,46,4084.393939 minutes,,0,0.001794872,0,0,Feb,2,chrome_90.1.7,8,Returning_Visitor,FALSE,c_4,105.036383,log_100,,0
36,,0,0,0.0 minutes,15,310.1666667 minutes,310.1666667,0,0.006666667,0,0,Feb,1,safari_15.2,4,Returning_Visitor,FALSE,c_4,92.97453768,log_100,,0
37,0,0,0,0.0 minutes,2,34.0 minutes,34,0,0.05,0,0.4,Feb,3,chrome_80,2,Returning_Visitor,FALSE,c_3,101.5302766,log404,,0
38,0,0,0,0.0 minutes,4,88.0 minutes,88,0,0.05,0,0,Feb,4,safari_14,1,Returning_Visitor,FALSE,c_3,84.60695693,log404,,0
39,0,0,0,0.0 minutes,22,622.25 minutes,,0.003030303,0.006060606,0,0.2,Feb,2,browser_5_v18,1,Returning_Visitor,FALSE,c_4,112.1126228,log200,,0
40,0,0,0,0.0 minutes,14,222.4 minutes,,0.017142857,0.057142857,0,0,Feb,1,safari_15.4,1,Returning_Visitor,FALSE,,96.04936483,log_100,,0
41,0,0,0,0.0 minutes,3,,80,0.066666667,0.133333333,0,0.2,Feb,3,chrome_99.1.4,1,Returning_Visitor,FALSE,c_3,93.34851449,log202,,0
42,0,0,0,0.0 minutes,11,800.8333333 minutes,800.8333333,0,0.003636364,0,0,Feb,3,chrome_90.1.7,1,Returning_Visitor,FALSE,c_3,100.5796464,log200,,0
43,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0.6,Feb,2,chrome_98.0.1,3,Returning_Visitor,FALSE,c_2,99.24352304,log_100,,0
44,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0,Feb,1,safari_15,3,Returning_Visitor,TRUE,c_4,89.90065643,log200,,0
45,0,0,0,0.0 minutes,12,265.1666667 minutes,,0.011111111,0.026111111,0,0.2,Feb,3,chrome_99.1.3,1,Returning_Visitor,FALSE,c_3,89.07023224,log202,,0
46,0,0,0,0.0 minutes,2,29.0 minutes,29,0,0.1,0,1,Feb,2,edge_97.0.1072.76,4,Returning_Visitor,TRUE,c_2,74.03909547,log8080,,0
47,0,0,0,0.0 minutes,4,160.0 minutes,160,0,0.075,0,0,Feb,4,chrome_98.0.1,2,Returning_Visitor,FALSE,c_3,102.6956041,log_100,,0
48,0,0,0,0.0 minutes,4,135.6666667 minutes,,0.05,0.025,0,0.4,Feb,3,browser_3_v19,1,Returning_Visitor,FALSE,c_4,101.3745022,log400,,0
49,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0.2,Feb,2,edge_96.0.1054.75,1,Returning_Visitor,FALSE,c_3,99.76147608,log400,,0
50,,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0.6,Feb,3,chrome_98.0.1,3,Returning_Visitor,FALSE,c_3,101.7919372,log400,,0
51,4,56,2,120.0 minutes,36,998.7416667 minutes,1174.741667,0,0.014736467,19.44707913,0.2,Feb,2,chrome_98.0.1,4,Returning_Visitor,FALSE,c_1,88.6953767,log_100,,0
52,0,0,0,0.0 minutes,4,,,0,0.05,0,0.4,Feb,,browser_6_v9,6,Returning_Visitor,FALSE,c_3,96.88551309,log200,,0
53,2,16,0,0.0 minutes,16,381.6865079 minutes,,0.011764706,0.046568627,0,0.6,Feb,2,edge_96.0.1054.75,2,Returning_Visitor,FALSE,c_1,107.4090217,log404,,0
54,0,0,0,0.0 minutes,6,169.0 minutes,,0,0.016666667,0,0.4,Feb,1,safari_14,3,Returning_Visitor,FALSE,c_3,83.24718642,log404,,0
55,0,0,0,0.0 minutes,8,400.8 minutes,,0.05,0.120833333,0,0,Feb,1,safari_13,1,Returning_Visitor,FALSE,c_3,87.5944298,log_100,,0
56,12,279.4166667,0,0.0 minutes,42,1553.583333 minutes,1833,0.009,0.019666667,38.30849268,0,Feb,1,safari_13,3,Returning_Visitor,FALSE,c_2,91.85130494,log8080,,0
57,0,0,0,0.0 minutes,14,706.5 minutes,,0,0.007142857,0,0,Feb,2,chrome_98.0.1,5,Returning_Visitor,TRUE,c_4,97.87855822,log200,,0
58,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0,Feb,2,chrome_98.0.1,4,Returning_Visitor,FALSE,c_3,84.20712525,log_100,,0
59,3,87.83333333,,0.0 minutes,27,798.3333333 minutes,886.1666666,0,0.012643678,22.9160357,0.8,Feb,2,chrome_99.1.4,3,Returning_Visitor,FALSE,c_1,110.2219856,log400,,1
60,4,44,0,0.0 minutes,90,6951.972222 minutes,,0.002150538,0.015013034,0,0,Feb,4,safari_13,1,Returning_Visitor,FALSE,,84.84621209,log404,,0
61,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0.6,Feb,2,chrome_98.0.1,5,Returning_Visitor,FALSE,c_1,104.6102552,log400,,0
62,,0,0,0.0 minutes,18,902.0 minutes,,0,0.007407407,0,0,Feb,2,browser_7_v20,2,Returning_Visitor,FALSE,c_4,106.3707422,log200,,0
63,0,0,,0.0 minutes,1,,0,0.2,0.2,0,0,Feb,2,browser_6_v10,1,Returning_Visitor,FALSE,c_2,92.37829715,log200,,0
64,0,0,0,0.0 minutes,20,197.3777778 minutes,197.3777778,0.025,0.0525,0,,Feb,2,browser_6_v14,6,Returning_Visitor,FALSE,c_1,101.187114,log202,,0
65,0,0,0,0.0 minutes,2,43.0 minutes,43,0,0.1,0,0.4,Feb,2,chrome_90.1.7,3,Returning_Visitor,FALSE,c_3,94.99069475,log_100,,0
66,0,0,0,0.0 minutes,8,426.6666667 minutes,,0,0.0125,0,0,Feb,2,edge_97.0.1072.76,3,Returning_Visitor,FALSE,c_2,100.7003475,log8080,,0
67,0,0,0,0.0 minutes,,135.0 minutes,,0,0.066666667,0,0,Feb,2,edge_96.0.1054.72,3,Returning_Visitor,FALSE,c_3,102.9415548,log8080,,0
68,10,1005.666667,0,0.0 minutes,36,2111.341667 minutes,3117.008334,0.004347826,0.014492754,11.43941195,0,Feb,2,browser_6_v20,1,Returning_Visitor,FALSE,c_2,104.9754083,log404,,1
69,,0,0,0.0 minutes,2,76.0 minutes,,0,0.05,0,0.6,Feb,3,chrome_99.1.3,3,Returning_Visitor,FALSE,c_3,103.9347605,log_100,,0
70,0,0,,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0.4,Feb,1,safari_15.4,1,Returning_Visitor,FALSE,c_3,115.6803461,log_100,,0
71,0,0,0,0.0 minutes,7,208.0 minutes,,0,0.028571429,0,,Feb,4,safari_15,1,Returning_Visitor,TRUE,c_5,111.9678204,log400,,0
72,0,0,0,0.0 minutes,4,270.0 minutes,,0,0.016666667,0,0.8,Feb,1,safari_13.1,1,Returning_Visitor,FALSE,c_3,90.76394081,log200,,0
73,0,0,0,0.0 minutes,6,39.5 minutes,,0,0.02,0,0,Feb,2,chrome_89,1,Returning_Visitor,FALSE,c_3,94.05398202,log202,,0
74,0,0,0,0.0 minutes,12,375.0 minutes,,0.016666667,0.058333333,0,0,Feb,3,chrome_90.1.7,4,Returning_Visitor,FALSE,,111.4503203,log200,,0
75,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0.8,Feb,2,chrome_89,2,Returning_Visitor,TRUE,c_1,108.2028545,log_100,,0
76,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0,Feb,1,safari_15.2,1,Returning_Visitor,FALSE,c_3,100.8520721,log_100,,0
77,0,,0,0.0 minutes,7,150.0 minutes,,0.057142857,0.085714286,0,0,Feb,2,chrome_89,2,Returning_Visitor,FALSE,c_1,94.15964755,log200,,0
78,0,0,,0.0 minutes,3,138.0 minutes,138,0,0.066666667,0,0,Feb,1,safari_15.2,1,Returning_Visitor,FALSE,,101.2244783,log202,,0
79,0,0,,0.0 minutes,7,337.5 minutes,,0.028571429,0.023809524,0,0.4,Feb,4,safari_13,3,Returning_Visitor,FALSE,,91.72634163,log200,,0
80,0,0,0,0.0 minutes,,620.0333333 minutes,620.0333333,0,0.007894737,0,0,Feb,1,safari_13,4,Returning_Visitor,FALSE,,80.16465356,log200,,0
81,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0,Feb,1,safari_15.2,1,Returning_Visitor,TRUE,c_2,112.0075385,log404,,0
82,0,0,0,0.0 minutes,2,52.0 minutes,52,0,0.1,0,0,Feb,1,safari_15.2,1,Returning_Visitor,FALSE,c_3,91.07196447,log200,,0
83,0,0,0,0.0 minutes,13,649.25 minutes,,0,0.015384615,0,0,Feb,2,chrome_90.1.7,1,New_Visitor,FALSE,c_5,111.2750463,log_100,,0
84,0,0,0,0.0 minutes,27,925.3333333 minutes,925.3333333,0.003703704,0.025925926,0,0.6,Feb,4,safari_14,3,Returning_Visitor,FALSE,c_3,105.3928157,log200,,0
85,0,0,0,0.0 minutes,2,33.0 minutes,,0,0.1,0,0.2,Feb,1,safari_14,1,Returning_Visitor,FALSE,c_3,102.155045,log8080,,0
86,0,0,0,0.0 minutes,6,1566.5 minutes,1566.5,0.05,0.066666667,0,0.2,Feb,1,safari_13,1,Returning_Visitor,FALSE,,100.6968289,log202,,0
87,0,0,0,0.0 minutes,4,105.0 minutes,,0,0.025,0,0.6,Feb,1,safari_14,1,Returning_Visitor,FALSE,c_4,103.7153684,log200,,0
88,0,0,0,0.0 minutes,16,644.2 minutes,,0.004166667,0.031666667,0,0,Feb,3,chrome_99.1.3,3,Returning_Visitor,FALSE,c_4,96.45103258,log200,,0
89,3,18.33333333,0,0.0 minutes,38,2635.177778 minutes,,0,0.008947368,0,0.4,Feb,2,edge_96.0.1054.75,1,Returning_Visitor,FALSE,c_2,100.4631406,log200,,0
90,4,61,0,0.0 minutes,19,607.0 minutes,668,0,0.026984127,17.53595893,1,Feb,1,safari_14,7,Returning_Visitor,TRUE,c_4,98.73644793,log400,,1
91,0,,0,0.0 minutes,6,415.0 minutes,415,0,0.033333333,0,0.4,Feb,1,safari_14,3,Returning_Visitor,FALSE,,92.00307943,log404,,0
92,,31,1,16.0 minutes,36,2083.530952 minutes,2130.530952,0,0.01351025,0,0.8,Feb,2,chrome_89,4,Returning_Visitor,FALSE,c_3,92.99256751,log8080,,0
93,3,58.5,0,0.0 minutes,17,281.6666667 minutes,340.1666667,0.007058824,0.017647059,0,0,Feb,1,safari_13,3,Returning_Visitor,FALSE,c_4,111.7070246,log200,,0
94,0,0,0,0.0 minutes,2,27.0 minutes,27,0.15,0.15,0,0,Feb,1,safari_14.1,7,Returning_Visitor,FALSE,c_2,100.618058,log8080,,0
95,0,0,1,0.0 minutes,9,215.0 minutes,,0.044444444,0.074074074,0,0.8,Feb,4,safari_13,1,Returning_Visitor,FALSE,c_3,76.0555424,log404,,0
96,0,0,0,0.0 minutes,12,162.0 minutes,,0.05,0.066666667,0,0,Feb,1,safari_15,1,Returning_Visitor,FALSE,c_3,107.4693156,log200,,0
97,0,0,0,0.0 minutes,2,114.0 minutes,114,0.05,0.066666667,0,0.8,Feb,3,browser_3_v16,1,Returning_Visitor,FALSE,c_3,98.66140424,log404,,0
98,0,0,0,0.0 minutes,4,253.0 minutes,,0,0.016666667,0,0.6,Feb,,chrome_90.1.7,3,Returning_Visitor,FALSE,,106.880139,log8080,,0
99,0,0,0,0.0 minutes,4,0.0 minutes,0,0.2,0.2,0,0.4,Feb,,chrome_80,1,Returning_Visitor,FALSE,,89.9911444,log400,,0
100,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0.8,Feb,1,safari_14,2,Returning_Visitor,FALSE,c_3,105.840992,log_100,,0
101,2,22,0,0.0 minutes,25,436.5 minutes,,0.008,0.024,0,0.2,Feb,2,edge_96.0.1054.75,1,Returning_Visitor,FALSE,c_1,94.37953335,log404,,0
102,0,0,1,93.0 minutes,30,1045.833333 minutes,,0.012903226,0.035483871,0,0.2,Feb,1,safari_13,1,Returning_Visitor,FALSE,c_3,90.848541,log202,,0
103,0,0,0,0.0 minutes,12,317.8333333 minutes,317.8333333,0,0.005555556,0,0,Feb,1,safari_14,1,Returning_Visitor,TRUE,c_4,101.8872437,log404,,0
104,0,0,0,0.0 minutes,21,1146.333333 minutes,,0,0.012962963,0,0.8,Feb,3,chrome_98.0.1,1,Returning_Visitor,FALSE,c_3,99.79821766,log_100,,0
105,0,0,0,,11,577.0 minutes,577,0.018181818,0.027272727,0,0.2,Feb,2,chrome_98.0.1,3,Returning_Visitor,FALSE,c_1,111.6233543,log400,,0
106,0,0,0,0.0 minutes,8,95.0 minutes,95,0,0.075,0,0,Feb,4,safari_14,3,Returning_Visitor,FALSE,c_3,79.01384644,log202,,0
107,0,0,0,0.0 minutes,6,301.5 minutes,301.5,0,0.111111111,0,0,Feb,2,edge_98.0.1108.84,9,Returning_Visitor,FALSE,c_3,94.75489892,log404,,0
108,0,0,,0.0 minutes,6,243.0 minutes,,0,0.033333333,0,0,Feb,2,edge_96.0.1054.72,4,Returning_Visitor,FALSE,c_1,103.8254195,log_100,,0
109,0,0,0,0.0 minutes,4,135.5 minutes,,0,0.05,0,0.6,Feb,2,chrome_98.0.1,1,Returning_Visitor,FALSE,c_2,109.6910816,log8080,,0
110,0,0,2,75.0 minutes,14,442.3333333 minutes,,0,0.034375,0,0.8,Feb,1,safari_15.4,3,Returning_Visitor,FALSE,c_3,91.45017493,log200,,0
111,0,0,0,0.0 minutes,3,41.0 minutes,41,0,0.066666667,0,0,Feb,1,safari_15.2,3,Returning_Visitor,FALSE,c_3,95.3665567,log202,,0
112,0,0,0,0.0 minutes,11,292.9 minutes,,0.028,0.11952381,0,0,Feb,2,edge_99.0.1150.46,3,Returning_Visitor,FALSE,c_1,101.5881132,log_100,,0
113,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0,Feb,1,safari_13.1,3,Returning_Visitor,FALSE,c_3,89.89331852,log404,,0
114,0,0,0,0.0 minutes,9,,1238.333333,0,0.040740741,0,0.4,Feb,2,chrome_80,1,Returning_Visitor,FALSE,c_3,120.1157103,log400,,0
115,0,0,0,0.0 minutes,10,225.4666667 minutes,225.4666667,0,0.05,0,,Feb,1,safari_15.4,8,Returning_Visitor,FALSE,c_3,104.3083951,log404,,0
116,,462,,0.0 minutes,51,1873.216667 minutes,2335.216667,0,0.00754717,0,0.6,Feb,2,chrome_99.1.3,9,Returning_Visitor,FALSE,c_3,79.51291143,log202,,0
117,0,0,0,0.0 minutes,3,13.0 minutes,,0.133333333,0.166666667,0,0,Feb,2,edge_98.0.1108.84,1,Returning_Visitor,FALSE,c_1,108.1921647,log400,,0
118,0,0,0,0.0 minutes,2,222.0 minutes,,0,0.1,0,,Feb,,browser_6_v19,1,Returning_Visitor,TRUE,c_2,100.5867024,log400,,0
119,2,20,0,0.0 minutes,16,214.8333333 minutes,234.8333333,0,0.022222222,0,0,Feb,2,chrome_89,1,Returning_Visitor,FALSE,c_6,109.5683249,log404,,0
120,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0,Feb,3,chrome_80,3,Returning_Visitor,FALSE,c_3,99.14934953,log202,,0
121,0,0,0,0.0 minutes,6,2017.166667 minutes,2017.166667,0,0.011111111,0,,Feb,2,chrome_98.0.1,4,Returning_Visitor,FALSE,c_3,110.9625904,log404,,0
122,6,111.5,0,0.0 minutes,26,449.0277778 minutes,560.5277778,0,0.018518519,0,0.6,Feb,1,safari_15.4,3,Returning_Visitor,FALSE,c_3,103.7238395,log8080,,0
123,0,0,0,0.0 minutes,6,158.1666667 minutes,,0,0.033333333,0,0,Feb,3,chrome_90.1.7,4,Returning_Visitor,FALSE,c_2,80.33370558,log202,,0
124,0,0,0,0.0 minutes,9,303.6666667 minutes,303.6666667,0.005555556,0.046296296,0,0,Feb,2,edge_97.0.1072.76,5,Returning_Visitor,FALSE,c_2,91.62095969,log404,,0
125,,0,0,0.0 minutes,3,25.0 minutes,25,0,0.066666667,0,0,Feb,2,edge_96.0.1054.72,1,Returning_Visitor,FALSE,c_5,98.33007317,log400,,0
126,0,0,0,0.0 minutes,2,42.0 minutes,,0.05,0.15,0,0.4,Feb,2,chrome_89,1,Returning_Visitor,FALSE,c_4,95.55931734,log404,,0
127,4,103.625,0,0.0 minutes,14,1003.416667 minutes,,0,0.018039216,0,0.2,Feb,1,safari_14.1,3,Returning_Visitor,FALSE,c_3,114.9697253,log200,,0
128,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0,Feb,2,,7,Returning_Visitor,FALSE,c_3,95.44376287,log202,,0
129,0,0,0,0.0 minutes,9,272.5 minutes,272.5,0,0.011851852,0,0.2,Feb,1,safari_14,6,Returning_Visitor,FALSE,c_3,107.6047863,log8080,,0
130,3,19,0,0.0 minutes,8,344.0 minutes,,0,0.007407407,0,0,Feb,2,edge_96.0.1054.72,2,Returning_Visitor,FALSE,c_3,105.2057589,log400,,0
131,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0,Feb,2,chrome_98.0.1,2,Returning_Visitor,FALSE,c_3,90.94012201,log404,,0
132,0,0,1,19.0 minutes,10,852.0 minutes,,0,0.009090909,0,0,Feb,2,chrome_98.0.1,3,Returning_Visitor,FALSE,c_6,96.63772947,log8080,,0
133,0,0,0,0.0 minutes,3,780.0 minutes,,0.066666667,0.066666667,0,0.4,Feb,2,edge_96.0.1054.72,1,Returning_Visitor,FALSE,c_3,115.5847203,log404,,0
134,0,0,0,,3,1038.0 minutes,1038,0,0.033333333,0,0,Feb,2,,1,Returning_Visitor,FALSE,c_1,114.8591542,log404,,0
135,0,0,0,0.0 minutes,4,573.0 minutes,573,0,0.05,0,0,Feb,2,chrome_98.0.1,3,Returning_Visitor,FALSE,c_3,106.4747218,log200,,0
136,0,0,0,,11,316.6666667 minutes,,0,0.027272727,0,0.8,Feb,2,chrome_99.1.4,2,Returning_Visitor,FALSE,c_1,98.67661364,log8080,,0
137,0,0,0,0.0 minutes,20,,,0.0075,0.028166667,0,0,Feb,1,chrome_98.0.1,1,Returning_Visitor,FALSE,c_1,109.3604944,log202,,0
138,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0.4,Feb,2,chrome_90.1.7,3,Returning_Visitor,FALSE,c_4,101.1168258,log200,,0
139,0,0,0,0.0 minutes,4,16.0 minutes,16,0.1,0.15,0,0,Feb,2,browser_5_v12,5,Returning_Visitor,FALSE,c_1,90.64798189,log202,,0
140,0,0,0,0.0 minutes,19,615.0 minutes,615,0,0.026315789,0,0.2,Feb,2,chrome_89,3,Returning_Visitor,FALSE,c_3,90.70533093,log_100,,0
141,0,0,0,0.0 minutes,9,261.75 minutes,261.75,0,0.026666667,0,0,Feb,2,browser_6_v19,1,Returning_Visitor,FALSE,c_1,110.0019373,log_100,,0
142,0,0,0,0.0 minutes,21,615.8831169 minutes,615.8831169,0.033333333,0.04993081,0,0,Feb,3,chrome_99.1.3,2,Returning_Visitor,TRUE,c_1,111.2542591,log404,,0
143,0,0,0,0.0 minutes,6,117.5 minutes,,0,0.033333333,0,0.8,Feb,1,safari_15,1,Returning_Visitor,TRUE,c_3,107.9415654,log8080,,0
144,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0,Feb,1,safari_14.1,1,Returning_Visitor,FALSE,c_3,75.26686264,log404,,0
145,0,0,0,0.0 minutes,23,501.6666667 minutes,,0.008695652,0.01884058,0,0.6,Feb,1,safari_13.1,4,Returning_Visitor,FALSE,c_2,110.8416791,log404,,0
146,2,58,,22.0 minutes,31,829.1666667 minutes,909.1666667,0.03030303,0.040606061,0,0,Feb,1,safari_13.1,1,Returning_Visitor,TRUE,c_1,116.7483772,log_100,,0
147,1,9.5,0,0.0 minutes,23,1223.0 minutes,,0.015217391,0.012463768,0,0,Feb,1,safari_14.1,1,Returning_Visitor,TRUE,c_2,109.0461774,log202,,0
148,0,0,0,0.0 minutes,6,467.0 minutes,,0,0.016666667,0,0.4,Feb,1,safari_14.1,3,Returning_Visitor,FALSE,c_3,97.06131145,log_100,,0
149,0,0,0,0.0 minutes,12,129.0 minutes,129,0,0.033333333,0,0,Feb,1,safari_14.1,3,Returning_Visitor,FALSE,c_2,92.03760832,log200,,0
150,0,0,0,0.0 minutes,5,,125,0.086666667,0.166666667,0,0,Feb,2,chrome_80,1,Returning_Visitor,FALSE,c_3,113.4383822,log400,,0
151,0,0,0,0.0 minutes,11,684.3333333 minutes,684.3333333,0.018181818,0.063636364,0,0,Feb,2,,6,Returning_Visitor,FALSE,,86.23132865,log8080,,0
152,0,0,0,0.0 minutes,20,665.4722222 minutes,665.4722222,0,0.0145,0,0.8,Feb,3,chrome_89,7,Returning_Visitor,TRUE,c_4,93.10435541,log_100,,0
153,1,0,0,0.0 minutes,15,487.5 minutes,487.5,0,0.019166667,0,0.8,Feb,1,safari_14.1,2,Returning_Visitor,TRUE,c_4,99.90658754,log404,,0
154,0,0,0,0.0 minutes,17,437.1666667 minutes,437.1666667,0.011111111,0.033333333,0,0,Feb,2,edge_96.0.1054.72,1,Returning_Visitor,FALSE,c_3,121.2681443,log_100,,0
155,0,0,0,0.0 minutes,3,55.0 minutes,55,0.066666667,0.1,0,0.6,Feb,1,safari_13.1,1,Returning_Visitor,FALSE,c_3,98.12598175,log404,,0
